Group,Region,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023
Hisp,Total,1225,1241,1169,1097,599,728,1009,984
NHA,Total,162,167,180,188,83,85,141,140
NHB,Total,3757,3879,3605,2445,1892,2282,2358,2188
NHW,Total,2849,2795,2768,2717,1424,1434,1887,1723
